Optimal HV: 17035431968
Iteration 192: HV = 6693922318.53, HVR = 0.39
Iteration 193: HV = 6632195879.45, HVR = 0.39
Iteration 194: HV = 6632195879.45, HVR = 0.39
Iteration 195: HV = 6640097069.46, HVR = 0.39
Iteration 196: HV = 6640097069.46, HVR = 0.39
Iteration 197: HV = 6503020945.19, HVR = 0.38
Iteration 198: HV = 6503020945.19, HVR = 0.38
Iteration 199: HV = 6503020945.19, HVR = 0.38
Iteration 200: HV = 6543126416.90, HVR = 0.38
Iteration 201: HV = 6521368676.25, HVR = 0.38
Iteration 202: HV = 6564640924.31, HVR = 0.39
Iteration 203: HV = 6571286348.11, HVR = 0.39
Iteration 204: HV = 6571286348.11, HVR = 0.39
Iteration 205: HV = 6571286348.11, HVR = 0.39
Iteration 206: HV = 6608795770.08, HVR = 0.39
Iteration 207: HV = 6671292542.27, HVR = 0.39
Iteration 208: HV = 6702945564.36, HVR = 0.39
Iteration 209: HV = 6711619882.96, HVR = 0.39
Iteration 210: HV = 6721643619.84, HVR = 0.39
Iteration 211: HV = 6721643619.84, HVR = 0.39
Iteration 212: HV = 6837988443.14, HVR = 0.40
Iteration 213: HV = 6837988443.14, HVR = 0.40
Iteration 214: HV = 6837988443.14, HVR = 0.40
Iteration 215: HV = 6843550484.53, HVR = 0.40
Iteration 216: HV = 6843550484.53, HVR = 0.40
Iteration 217: HV = 6845052384.94, HVR = 0.40
Iteration 218: HV = 6860485499.28, HVR = 0.40
Iteration 219: HV = 6887091923.70, HVR = 0.40
Iteration 220: HV = 6902780449.88, HVR = 0.41
Iteration 221: HV = 6907761766.47, HVR = 0.41
Iteration 222: HV = 6978324281.62, HVR = 0.41
Iteration 223: HV = 6978324281.62, HVR = 0.41
Iteration 224: HV = 6978324281.62, HVR = 0.41
Iteration 225: HV = 6978324281.62, HVR = 0.41
Iteration 226: HV = 6984941348.29, HVR = 0.41
Iteration 227: HV = 6983577421.58, HVR = 0.41
Iteration 228: HV = 6983577421.58, HVR = 0.41
